Metric,Unit,x,y,POP.2020.SSP1,POP.2030.SSP1,POP.2040.SSP1,POP.2050.SSP1,POP.2060.SSP1,POP.2070.SSP1,POP.2080.SSP1,POP.2090.SSP1,POP.2100.SSP1,POP.2020.SSP2,POP.2030.SSP2,POP.2040.SSP2,POP.2050.SSP2,POP.2060.SSP2,POP.2070.SSP2,POP.2080.SSP2,POP.2090.SSP2,POP.2100.SSP2,POP.2020.SSP3,POP.2030.SSP3,POP.2040.SSP3,POP.2050.SSP3,POP.2060.SSP3,POP.2070.SSP3,POP.2080.SSP3,POP.2090.SSP3,POP.2100.SSP3,POP.2020.SSP4,POP.2030.SSP4,POP.2040.SSP4,POP.2050.SSP4,POP.2060.SSP4,POP.2070.SSP4,POP.2080.SSP4,POP.2090.SSP4,POP.2100.SSP4,POP.2020.SSP5,POP.2030.SSP5,POP.2040.SSP5,POP.2050.SSP5,POP.2060.SSP5,POP.2070.SSP5,POP.2080.SSP5,POP.2090.SSP5,POP.2100.SSP5
Population,headcount,239500,686500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,240500,686500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.976326227,4.328539848,5.0529274939999995,5.375597954,5.7049427029999995,5.943942547000001
Population,headcount,241500,686500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.263975143,8.714092255,9.079857826
Population,headcount,242500,686500,196.3365479,193.7260895,191.41926569999998,193.99923710000002,198.9203949,203.2544708,203.2690582,202.5818176,199.01383969999998,196.3365479,192.0861053,189.5815582,192.3109894,197.101181,201.35289,202.8515167,204.6337738,204.6863861,196.3365479,182.5269775,172.80900569999997,165.57272340000003,175.454483,169.7590179,160.8136139,153.1233215,142.1529236,196.3365479,186.43144230000001,183.65145869999998,181.52793880000002,180.3510742,177.7407074,171.0171661,164.9879761,153.8489685,196.3365479,221.2542725,227.4067688,242.1461182,263.88098140000005,308.88928219999997,350.7017212,369.7558289,385.275177
Population,headcount,243500,686500,23.34758759,23.03432083,22.80129433,23.10694695,23.691446300000003,24.2063427,24.20674896,24.12382317,23.69767952,23.34758759,22.83918953,22.5386734,22.86780167,23.44179344,23.94564819,24.12196541,24.33828735,24.34296417,23.34758759,21.79255295,20.52267838,19.66256332,20.95126343,20.2728672,19.20389366,18.28720284,16.97625923,23.34758759,22.16707993,21.82744408,21.57902908,21.44270325,21.13053513,20.32972527,19.61570549,18.29038429,23.34758759,24.48092651,27.21735382,28.98044205,31.59790993,37.03735733,41.89002991,44.17620468,46.03212357
Population,headcount,244500,686500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.492519378999999
Population,headcount,237500,685500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,238500,685500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,239500,685500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.490449429,3.240528107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.362235069,4.068288326,0.0,0.0,0.0,0.0,4.347444057,4.74502182,5.087510109,5.71460104,5.953757286
Population,headcount,240500,685500,8.070991516,7.96219635,7.935387135,8.040849686,8.245469092999999,8.42354393,8.424724579,8.396742821,8.249369621,8.070991516,7.897018909,7.792625903999999,7.903296471,8.098626137,8.271822928999999,8.333997726,8.407779694,8.410461426,8.070991516,7.450928211,7.646076679,7.325939655,7.128727436,6.844311714,6.481127262,6.1708498,5.728656769,8.070991516,7.664491177,8.117105484,8.022550583,7.970101357000001,7.854144572999999,7.557959557,7.7960619929999995,7.270363808,8.070991516,9.009526252999999,9.187736511,10.44632149,11.36897945,12.49382401,13.30434418,14.95129299,15.57603168
